icao,reg,country,owners,type,notes
89624B,A6HMS,AE,Government of Fujairah,Airbus A320 232,
06A0A2,A7HHE,QA,Qatar Amiri Flight,Boeing 747 8KB BBJ,
03E015,TRKGM,GA,Government of Gabon,Gulfstream Aerospace G650 ER,
14FC08,RA64520,RU,Russia State Transport Company,Tupolev Tu-214 PU,
71019B,HZMF8,SA,Saudi Ministry of Finance,Boeing 787 8 BBJ,
04200A,3CEGE,GQ,Government of Equatorial Guinea,Boeing 737NG 7FB BBJ W,
51005E,EW001PB,BY,Government of Belarus,Boeing 767 32KER,
8960B4,A6HRM,AE,Dubai Air Wing,Boeing 747 422,
600BE8,4KAI01,AZ,Government of Azerbaijan,Boeing 767 32LER,
157715,RA96021,RU,Russia State Transport Company,Ilyushin IL-96 300PU,
06A021,A7HHH,QA,Qatar Amiri Flight,Airbus A340 541,
7101E7,HZMF3,SA,Saudi Ministry of Finance,Gulfstream Aerospace G300,
600BC4,4KAI88,AZ,SW Business Aviation,Gulfstream Aerospace G650,
601861,EZA777,TM,Government of Turkmenistan,Boeing 777 22KLR,
706054,9KGGC,KW,Government of Kuwait,Gulfstream Aerospace G650,
7101F0,HZMF5,SA,Saudi Ministry of Finance,Gulfstream Aerospace G300,
06A05A,A7AAH,QA,Qatar Amiri Flight,Airbus A340 313X,
6830ED,UPA3001,KZ,Government of Kazakhstan,Airbus A330 243,
090088,D2ANG,AO,Government of Angola,Bombardier Global Express XRS,
89407F,A9CBAH,BH,Bahrain Amiri Flight,Gulfstream Aerospace G650,
89607A,A6MRM,AE,Dubai Air Wing,Boeing 737NG 8EC BBJ2,
710333,HZHM1,SA,Government of Saudi Arabia,Boeing 747 468,
