icao,iata,country,name,airport_type,alt,lon,lat
LSMD,,CH,Dübendorf Air Base,medium_airport,1470,8.648229599,47.398601532
FR0082,,FR,Centre Hospitalier Henri Mondor Heliport,heliport,160,2.45361089706421,48.7988891601562
RU0228,,RU,Rydoma Airfield,small_airport,673,37.25,54.265
KHHR,HHR,US,Jack Northrop Field Hawthorne Municipal Airport,medium_airport,66,-118.334999,33.922798
GB0562,,GB,Stow Maries Great War Aerodrome,small_airport,,0.632684,51.66948
RK6T,,KR,C272 Heliport,heliport,265,127.255454,37.357537
IT0514,,IT,Campo di Volo di Vallecamonica,small_airport,673,10.147571,45.855901
AE0006,DJH,AE,Jebel Ali Seaplane Base,seaplane_base,0,55.023796,24.988967
EGWE,,GB,RAF Henlow,small_airport,206,-0.303849995136,52.0181999207
EGWU,NHT,GB,RAF Northolt,medium_airport,124,-0.418166995049,51.5530014038
EGXT,,GB,RAF Wittering,medium_airport,273,-0.476453,52.612598
EIBA,,IE,Ballyboughal Aerodrome,small_airport,180,-6.2377778,53.5055556
EGLK,BBS,GB,Blackbushe Airport,medium_airport,325,-0.847500026226044,51.3238983154297
1MD7,,US,Shady Grove Adventist Hospital Heliport,heliport,475,-77.1968994140625,39.098201751709
BE0005,,GB,RAF Castle Camps,closed,420,0.378611,52.051389
KCNW,CNW,US,TSTC Waco Airport,small_airport,470,-97.0740966797,31.6378002167
LSTR,,CH,Montricher Airport,small_airport,2178,6.40055990219116,46.5903015136719
LV0037,,LV,Staru lidlauks,closed,,26.733248,57.103284
PT0001,,PT,Alfragide Heliport,heliport,433,-9.215061,38.738392
US1061,,US,Glascock Heliport,heliport,330,-77.542183,38.944455
UUMO,OSF,RU,Ostafyevo International Airport,medium_airport,568,37.507222,55.511667
73F,,US,Wings For Christ International Flight Academy Airport,small_airport,455,-97.0224990844727,31.62380027771
DAON,TLM,DZ,Zenata – Messali El Hadj Airport,medium_airport,814,-1.45000004768,35.0167007446
GB0483,,GB,High Flats Farm Airstrip,small_airport,220,-1.59656,54.8697
UA0074,,UA,Mariinsky park helipad,heliport,,30.545,50.4486111111
RU0270,,RU,Crocus Expo Helipad,heliport,411,37.384396,55.822586
ZBTJ,TSN,CN,Tianjin Binhai International Airport,large_airport,10,117.346000671,39.1244010925
KLFT,LFT,US,Lafayette Regional Airport,large_airport,42,-91.98760223,30.20529938
UWKG,,RU,Borisoglebskoye Airport,large_airport,213,49.13330078125,55.86669921875
UWKD,KZN,RU,Kazan International Airport,large_airport,411,49.278701782227,55.606201171875
GCTS,TFS,ES,Tenerife South Airport,large_airport,209,-16.5725002289,28.044500351
MMSD,SJD,MX,Los Cabos International Airport,large_airport,374,-109.721000671387,23.1518001556396
KRND,RND,US,Randolph Air Force Base,large_airport,761,-98.27890015,29.52969933
LLOV,VDA,IL,Ovda International Airport,large_airport,1492,34.9357986450195,29.940299987793
KMKE,MKE,US,General Mitchell International Airport,large_airport,723,-87.896598815918,42.9472007751465
rjns,FSZ,JP,Mt. Fuji Shizuoka Airport,large_airport,433,138.18775177,34.7960434679
SBBE,BEL,BR,Val de Cans/Júlio Cezar Ribeiro International Airport,large_airport,54,-48.4762992859,-1.37925004959
OPST,SKT,PK,Sialkot Airport,large_airport,837,74.3638916016,32.5355567932
KDAL,DAL,US,Dallas Love Field,large_airport,487,-96.851799,32.847099
RJOO,ITM,JP,Osaka International Airport,large_airport,50,135.438003540039,34.7854995727539
RJTY,OKO,JP,Yokota Air Base,large_airport,463,139.348007202148,35.7485008239746
KAUS,AUS,US,Austin Bergstrom International Airport,large_airport,542,-97.6698989868164,30.1944999694824
KSSC,SSC,US,Shaw Air Force Base,large_airport,241,-80.47059631,33.97269821
KMSY,MSY,US,Louis Armstrong New Orleans International Airport,large_airport,4,-90.2580032348633,29.9934005737305
KLEX,LEX,US,Blue Grass Airport,large_airport,979,-84.6059036254883,38.0364990234375
LPLA,TER,PT,Lajes Airport,large_airport,180,-27.090799,38.761799
KSAT,SAT,US,San Antonio International Airport,large_airport,809,-98.4698028564453,29.5337009429932
KSKA,SKA,US,Fairchild Air Force Base,large_airport,2461,-117.65599823,47.6151008606
GQNO,NKC,MR,Nouakchott–Oumtounsy International Airport,large_airport,9,-15.9697222,18.31
SLVR,VVI,BO,Viru Viru International Airport,large_airport,1224,-63.135399,-17.6448
KPHL,PHL,US,Philadelphia International Airport,large_airport,36,-75.241096496582,39.871898651123
EPMO,WMI,PL,Modlin Airport,large_airport,341,20.6518,52.451099
EDDG,FMO,DE,Münster Osnabrück Airport,large_airport,160,7.68483018875,52.134601593
ZBAD,PKX,CN,Beijing Daxing International Airport,large_airport,98,116.41092,39.509945
KSJC,SJC,US,Norman Y. Mineta San Jose International Airport,large_airport,62,-121.929001,37.362598
GVAC,SID,CV,Amílcar Cabral International Airport,large_airport,177,-22.9494,16.7414
FALE,DUR,ZA,King Shaka International Airport,large_airport,295,31.1197222222,-29.6144444444
HTDA,DAR,TZ,Julius Nyerere International Airport,large_airport,182,39.202599,-6.87811
EDDN,NUE,DE,Nuremberg Airport,large_airport,1046,11.078056,49.498699
FAOR,JNB,ZA,OR Tambo International Airport,large_airport,5558,28.246,-26.1392
EDLW,DTM,DE,Dortmund Airport,large_airport,425,7.61223983765,51.5182991028
EDDW,BRE,DE,Bremen Airport,large_airport,14,8.78666973114,53.0475006104
KSDF,SDF,US,Louisville International Standiford Field,large_airport,501,-85.736,38.1744
KHOU,HOU,US,William P Hobby Airport,large_airport,46,-95.27890015,29.64539909
EFHK,HEL,FI,Helsinki Vantaa Airport,large_airport,179,24.963300704956,60.317199707031
MPTO,PTY,PA,Tocumen International Airport,large_airport,135,-79.3834991455,9.0713596344
RU0016,,RU,Lipetsk Air Base,large_airport,636,39.4449996948242,52.6349983215332
KIND,IND,US,Indianapolis International Airport,large_airport,797,-86.294403,39.7173
KOKC,OKC,US,Will Rogers World Airport,large_airport,1295,-97.600700378418,35.3931007385254
KMCF,MCF,US,Mac Dill Air Force Base,large_airport,14,-82.52120209,27.84930038
DNKN,KAN,NG,Mallam Aminu International Airport,large_airport,1562,8.52462,12.0476
RKTU,CJJ,KR,Cheongju International Airport/Cheongju Air Base (K-59/G-513),large_airport,191,127.498741,36.717008
VAGO,GOI,IN,Dabolim Airport,large_airport,150,73.8313980103,15.3808002472
DNAA,ABV,NG,Nnamdi Azikiwe International Airport,large_airport,1123,7.26316976547241,9.00679016113281
KMCO,MCO,US,Orlando International Airport,large_airport,96,-81.3089981079102,28.4293994903564
RPVM,CEB,PH,Mactan Cebu International Airport,large_airport,31,123.97899627686,10.307499885559
HTZA,ZNZ,TZ,Abeid Amani Karume International Airport,large_airport,54,39.224899,-6.22202
KPBI,PBI,US,Palm Beach International Airport,large_airport,19,-80.0955963134766,26.6832008361816
RJAA,NRT,JP,Narita International Airport,large_airport,141,140.386001587,35.7647018433
RKPK,PUS,KR,Gimhae International Airport,large_airport,6,128.93800354,35.1795005798
EDDS,STR,DE,Stuttgart Airport,large_airport,1276,9.22196006775,48.6898994446
EBCI,CRL,BE,Brussels South Charleroi Airport,large_airport,614,4.45382,50.459202
KMGM,MGM,US,Montgomery Regional (Dannelly Field) Airport,large_airport,221,-86.39399719,32.30059814
LTAF,ADA,TR,Adana Airport,large_airport,65,35.2803993225,36.9822006226
RKSO,OSN,KR,Osan Air Base,large_airport,38,127.029999,37.090599
LTAI,AYT,TR,Antalya International Airport,large_airport,177,30.800501,36.898701
RU4464,,RU,Olenya Air Base,large_airport,702,33.463901519775,68.151802062988
VVDN,DAD,VN,Da Nang International Airport,large_airport,33,108.198997497559,16.0438995361328
VOBL,BLR,IN,Kempegowda International Airport,large_airport,3000,77.706299,13.1979
ENVA,TRD,NO,Trondheim Airport Værnes,large_airport,56,10.9239998,63.4578018
VTSP,HKT,TH,Phuket International Airport,large_airport,82,98.316902,8.1132
LTBS,DLM,TR,Dalaman International Airport,large_airport,20,28.7924995422,36.7131004333
VOCI,COK,IN,Cochin International Airport,large_airport,30,76.401901,10.152
MSLP,SAL,SV,Monseñor Óscar Arnulfo Romero International Airport,large_airport,101,-89.055702,13.4409
HSSJ,JUB,SS,Juba International Airport,large_airport,1513,31.6011009216,4.87201023102
EGNM,LBA,GB,Leeds Bradford Airport,large_airport,681,-1.66057002544403,53.8658981323242
EKYT,AAL,DK,Aalborg Airport,large_airport,10,9.84924316406,57.0927589138
ENBR,BGO,NO,Bergen Airport Flesland,large_airport,170,5.218140125,60.29339981
EGAC,BHD,GB,George Best Belfast City Airport,large_airport,15,-5.87249994277954,54.6180992126465
WIII,CGK,ID,Soekarno-Hatta International Airport,large_airport,34,106.65599823,-6.1255698204
VNKT,KTM,NP,Tribhuvan International Airport,large_airport,4390,85.3591,27.6966
EKBI,BLL,DK,Billund Airport,large_airport,247,9.15178012848,55.7402992249
OM0003,DQM,OM,Duqm International Airport,large_airport,364,57.634167,19.501944
WADD,DPS,ID,Ngurah Rai (Bali) International Airport,large_airport,14,115.16699981689,-8.7481698989868
VMMC,MFM,MO,Macau International Airport,large_airport,20,113.592003,22.149599
EGNX,EMA,GB,East Midlands Airport,large_airport,306,-1.32806003094,52.8311004639
ENGM,OSL,NO,Oslo Gardermoen Airport,large_airport,681,11.100399971008,60.193901062012
EGPH,EDI,GB,Edinburgh Airport,large_airport,135,-3.37249994277954,55.9500007629395
KSTL,STL,US,St Louis Lambert International Airport,large_airport,618,-90.370003,38.748697
EPKK,KRK,PL,Kraków John Paul II International Airport,large_airport,791,19.7848,50.077702
SBBR,BSB,BR,Presidente Juscelino Kubistschek International Airport,large_airport,3497,-47.9208335876465,-15.8691673278809
EYVI,VNO,LT,Vilnius International Airport,large_airport,648,25.285801,54.634102
KSFB,SFB,US,Orlando Sanford International Airport,large_airport,55,-81.2375030517578,28.7775993347168
UAKK,KGF,KZ,Sary-Arka Airport,large_airport,1765,73.3343963623047,49.6707992553711
EGCC,MAN,GB,Manchester Airport,large_airport,257,-2.27495002746582,53.3536987304688
TNCM,SXM,SX,Princess Juliana International Airport,large_airport,13,-63.1088981628,18.0410003662
EGNT,NCL,GB,Newcastle Airport,large_airport,266,-1.69166994094849,55.0374984741211
MYNN,NAS,BS,Lynden Pindling International Airport,large_airport,16,-77.4662017822,25.0389995575
EGPD,ABZ,GB,Aberdeen Dyce Airport,large_airport,215,-2.19777989387512,57.2019004821777
FQMA,MPM,MZ,Maputo Airport,large_airport,145,32.572601,-25.920799
EGVA,FFD,GB,RAF Fairford,large_airport,286,-1.79003000259,51.6822013855
EGVN,BZZ,GB,RAF Brize Norton,large_airport,288,-1.58362,51.75
EGHI,SOU,GB,Southampton Airport,large_airport,44,-1.35679996013641,50.9502983093262
LFOA,,FR,Avord (BA 702) Air Base,large_airport,580,2.6325,47.053299
YBBN,BNE,AU,Brisbane International Airport,large_airport,13,153.117004394531,-27.3841991424561
TN0002,NBE,TN,Enfidha - Hammamet International Airport,large_airport,21,10.438611,36.075833
LCRA,AKT,GB,RAF Akrotiri,large_airport,76,32.9879,34.590401
LFML,MRS,FR,Marseille Provence Airport,large_airport,74,5.22142410278,43.439271922
EGUL,LKZ,GB,RAF Lakenheath,large_airport,32,0.56099998951,52.4093017578
LKPR,PRG,CZ,Václav Havel Airport Prague,large_airport,1247,14.26,50.1008
LJLJ,LJU,SI,Ljubljana Jože Pučnik Airport,large_airport,1273,14.4576,46.223701
LIML,LIN,IT,Milano Linate Airport,large_airport,353,9.27674,45.445099
UKBB,KBP,UA,Boryspil International Airport,large_airport,427,30.8946990966797,50.3450012207031
LEST,SCQ,ES,Santiago de Compostela Airport,large_airport,1213,-8.41514015197754,42.8963012695312
UNKL,KJA,RU,Yemelyanovo Airport,large_airport,942,92.493301,56.172901
OEMA,MED,SA,Prince Mohammad Bin Abdulaziz Airport,large_airport,2151,39.705101,24.5534
KPIT,PIT,US,Pittsburgh International Airport,large_airport,1203,-80.23290253,40.49150085
URSS,AER,RU,Sochi International Airport,large_airport,89,39.9566,43.449902
CYHZ,YHZ,CA,Halifax / Stanfield International Airport,large_airport,477,-63.5085983276,44.8807983398
UGTB,TBS,GE,Tbilisi International Airport,large_airport,1624,44.95470047,41.6692008972
LIPH,TSF,IT,Treviso-Sant'Angelo Airport,large_airport,59,12.1944,45.648399
LBSF,SOF,BG,Sofia Airport,large_airport,1742,23.4114360809326,42.6966934204102
LIBD,BRI,IT,Bari Karol Wojtyła Airport,large_airport,177,16.760599,41.138901
LIMF,TRN,IT,Turin Airport,large_airport,989,7.64963,45.200802
EHEH,EIN,NL,Eindhoven Airport,large_airport,74,5.37452983856,51.4500999451
LICC,CTA,IT,Catania-Fontanarossa Airport,large_airport,39,15.0664,37.466801
LPPD,PDL,PT,João Paulo II Airport,large_airport,259,-25.6979007721,37.7411994934
NZCH,CHC,NZ,Christchurch International Airport,large_airport,123,172.531997680664,-43.4893989562988
FBSK,GBE,BW,Sir Seretse Khama International Airport,large_airport,3299,25.9182,-24.555201
ETAR,RMS,DE,Ramstein Air Base,large_airport,776,7.60027980804443,49.4369010925293
LFBO,TLS,FR,Toulouse-Blagnac Airport,large_airport,499,1.36382,43.629101
OM0004,MNH,OM,Rustaq Airport,large_airport,349,57.4875,23.640556
LPPR,OPO,PT,Francisco de Sá Carneiro Airport,large_airport,228,-8.68138980865,41.2481002808
ZBNY,NAY,CN,Beijing Nanyuan Airport,large_airport,,116.388000488281,39.7827987670898
OSDI,DAM,SY,Damascus International Airport,large_airport,2020,36.5155982971191,33.4114990234375
YMML,MEL,AU,Melbourne International Airport,large_airport,434,144.843002,-37.673302
LGTS,SKG,GR,Thessaloniki Macedonia International Airport,large_airport,22,22.9708995819092,40.5196990966797
CYEG,YEG,CA,Edmonton International Airport,large_airport,2373,-113.580001831,53.3097000122
KBHM,BHM,US,Birmingham-Shuttlesworth International Airport,large_airport,650,-86.75350189,33.56290054
KBDL,BDL,US,Bradley International Airport,large_airport,173,-72.6831970215,41.9388999939
KCAE,CAE,US,Columbia Metropolitan Airport,large_airport,236,-81.119499206543,33.9388008117676
KBLV,BLV,US,Scott AFB/Midamerica Airport,large_airport,459,-89.835197,38.5452
ORMM,BSR,IQ,Basrah International Airport,large_airport,11,47.6621017456055,30.5491008758545
